학년	이수구분이수구분	학수번호-수업번호학수번호-수업번호	교과목명교과목명	교강사교강사	학점학점	시간시간	강의실강의실	강의평강의평	담은 인원담은 인원	유의사항유의사항
4	전공심화	PBL4001-10845	컴퓨터소프트웨어캡스톤PBL(알고리즘테스트실습)	박희진	3	시간미지정강좌,금(11:00-13:00)	비지정(),IT.BT관507강의실		69	
3	전공심화	COE1010-10826	실용공학연구1	박희진	1	시간미지정강좌	비지정()		39	
4	전공심화	COE1012-10827	실용공학연구3	박희진	1	시간미지정강좌	비지정()		20	
4	전공핵심	ITE1016-10834	전공멘토링1	김상욱	1	시간미지정강좌	비지정()		34	
3	전공핵심	ELE3021-12754	운영체제	강수용	3	시간미지정강좌,금(11:00-13:00)	비지정(),IT.BT관508강의실		69	
3	전공핵심	ELE3021-12756	운영체제	유민수	3	화(09:00-11:00),금(09:00-11:00)	IT.BT관507강의실		24	
4	전공심화	ITE4053-12761	딥러닝및응용	이성윤	3	화(16:00-17:30),금(13:00-14:30)	IT.BT관501강의실		17	
2	전공핵심	ITE2037-12750	객체지향시스템설계	박용수	3	월(15:00-17:00),목(13:00-15:00)	IT.BT관502강의실,IT.BT관207강의실		50	
2	전공핵심	ITE2037-12751	객체지향시스템설계	이춘화	3	월(11:00-13:00),목(09:00-11:00)	IT.BT관501강의실		23	
2	전공핵심	ITE2037-12752	객체지향시스템설계	이춘화	3	월(15:00-17:00),목(13:00-15:00)	IT.BT관501강의실		39	
2	전공핵심	ITE2037-12753	객체지향시스템설계	김태욱	3	월(15:00-17:00),목(09:00-11:00)	IT.BT관507강의실		64	
3	전공핵심	ELE3021-12755	운영체제	강수용	3	시간미지정강좌,금(15:00-17:00)	비지정(),IT.BT관207강의실		69	
1	교양필수	GEN5029-12686	커리어개발Ⅰ:취.창업진로로드맵	김윤호	1	월(17:00-18:00)	IT.BT관501강의실		28	공학인증구분
1	교양필수	GEN5029-12687	커리어개발Ⅰ:취.창업진로로드맵	김은솔	1	월(17:00-18:00)	IT.BT관203강의실		33	공학인증구분
1	교양필수	GEN5029-12688	커리어개발Ⅰ:취.창업진로로드맵	김태욱	1	월(17:00-18:00)	IT.BT관207강의실		18	공학인증구분
1	교양필수	GEN5029-12689	커리어개발Ⅰ:취.창업진로로드맵	노미나	1	월(17:00-18:00)	IT.BT관607강의실		17	공학인증구분
1	교양필수	GEN5029-12690	커리어개발Ⅰ:취.창업진로로드맵	이성윤	1	월(16:00-17:00)	IT.BT관607강의실		18	공학인증구분
1	교양필수	GEN5029-12691	커리어개발Ⅰ:취.창업진로로드맵	이윤상	1	월(16:00-17:00)	IT.BT관202강의실		21	공학인증구분
1	교양필수	GEN5029-12692	커리어개발Ⅰ:취.창업진로로드맵	이헌준	1	월(16:00-17:00)	IT.BT관203강의실		14	공학인증구분
1	교양필수	GEN5029-12694	커리어개발Ⅰ:취.창업진로로드맵	최용석	1	월(16:00-17:00)	IT.BT관207강의실		19	공학인증구분
2	전공기초(필수)	MAT2017-12747	확률통계론	장의선	3	화(16:00-17:30),수(16:00-17:30)	IT.BT관508강의실		75	
2	전공기초(필수)	MAT2017-12748	확률통계론	최진식	3	월(13:00-14:30),수(13:00-14:30)	IT.BT관501강의실		17	
2	전공기초(필수)	MAT2017-12749	확률통계론	조인휘	3	화(13:00-14:30),수(13:00-14:30)	IT.BT관609강의실		52	
1	전공기초(필수)	CUL3011-12564	일반물리학및실험1	하은자	4	화(11:00-13:00),월(11:00-13:00)	제1공학관404강의실,,자연과학관일반물리학실험실6(218),자연과학관일반물리학실험실3(212)		82	공학인증구분
1	전공기초(필수)	CUL3011-12565	일반물리학및실험1	김항배	4	화(11:00-13:00),월(13:00-15:00)	제1공학관401강의실,,자연과학관일반물리학실험실5(217),자연과학관일반물리학실험실4(213)		43	공학인증구분
3	교양필수	GEN5026-12602	테크노경영학(스타트업종합설계)	안광일	3	목(10:30-12:00)	제1공학관601강의실,		37	공학인증구분
3	교양필수	GEN5026-12603	테크노경영학(스타트업종합설계)	서형원	3	목(10:30-12:00)	제1공학관405강의실,		35	공학인증구분
3	교양필수	GEN5026-12604	테크노경영학(스타트업종합설계)	이재석	3	목(10:30-12:00)	제1공학관509강의실,		38	공학인증구분
3	전공핵심	ENE4014-12702	프로그래밍언어론	조동현	3	수(10:30-12:00),목(09:00-10:30)	IT.BT관508강의실,IT.BT관202강의실		55	
4	전공심화	ITE4054-12703	캡스톤소프트웨어프로젝트1	김윤호	1	시간미지정강좌	비지정()		18	
4	전공심화	ITE4054-12704	캡스톤소프트웨어프로젝트1	김은솔	1	시간미지정강좌	비지정()		20	
4	전공심화	ITE4054-12709	캡스톤소프트웨어프로젝트1	박용수	1	시간미지정강좌	비지정()		7	
