교과목명,교강사,과제_없음(%),과제_보통(%),과제_많음(%),조모임_없음(%),조모임_보통(%),조모임_많음(%),성적_너그러움(%),성적_보통(%),성적_깐깐함(%),평점,학년,이수구분,학수번호-수업번호,학점,시간,강의실
미분적분학1,허영식,0,0,0,0,0,0,0,0,0,4.0,1,전공기초(필수),GEN2052-12579,3,"월(09:00-10:30),수(10:30-12:00)",제1공학관405강의실
공업수학1,김주형,2,89,9,89,10,0,17,72,10,4.28,2,전공기초(필수),COE3051-12285,3,"화(13:00-14:30),금(13:00-14:30)","제1공학관204강의실,제1공학관302강의실"
모빌리티전산설계,오기용,64,27,9,27,27,45,55,27,18,3.45,4,전공심화,DME3060-12553,3,"수(15:00-16:00),수(16:00-20:00)",비지정()
공업수학1,노우석,18,81,1,96,2,2,33,65,2,4.82,2,전공기초(필수),COE3051-12650,3,"화(13:00-14:30),금(13:00-14:30)","제1공학관302강의실,제1공학관508강의실"
테크노경영학(스타트업종합설계),이재석,6,55,39,3,35,62,44,39,18,3.72,3,교양필수,GEN5026-12592,3,금(13:00-14:30),"제1공학관601강의실,"
상상과학성찰,임장원,0,0,0,0,0,0,0,0,0,5.0,1,교양필수,CUL0201-12488,2,화(13:00-15:00),제1공학관206강의실
공업수학1,이성열,0,0,0,0,0,0,0,0,0,3.71,2,전공기초(필수),COE3051-12651,3,"화(13:00-14:30),금(13:00-14:30)","제1공학관303강의실,제1공학관208강의실"
공학입문설계,윤수경,36,50,14,4,27,69,93,7,0,4.88,1,전공핵심,COE2022-12657,3,"화(09:00-11:00),목(13:00-15:00)",제2공학관공학입문설계실
공학입문설계,윤수경,36,50,14,4,27,69,93,7,0,4.88,1,전공핵심,COE2022-12658,3,"화(11:00-13:00),목(17:00-19:00)",제2공학관공학입문설계실
공학입문설계,윤수경,36,50,14,4,27,69,93,7,0,4.88,1,전공핵심,COE2022-12659,3,"화(17:00-19:00),목(15:00-17:00)",제2공학관공학입문설계실
공학입문설계,윤수경,36,50,14,4,27,69,93,7,0,4.88,1,전공핵심,COE2022-12660,3,"수(15:00-17:00),금(09:00-11:00)",제2공학관공학입문설계실
상상과학성찰,구재령,0,0,0,0,0,0,0,0,0,4.11,1,교양필수,CUL0201-12491,2,화(13:00-15:00),제1공학관603강의실
재료및생산가공실험2,김학성,0,0,0,0,0,0,0,0,0,4.11,4,전공심화,DME4068-12924,2,수(15:00-19:00),비지정()
재료및생산가공실험2,배지웅,0,0,0,0,0,0,0,0,0,5.0,4,전공심화,DME4068-12925,2,수(15:00-19:00),비지정()
테크노경영학(스타트업종합설계),이재석,6,55,39,3,35,62,44,39,18,3.72,3,교양필수,GEN5026-12593,3,금(14:30-16:00),"제1공학관403강의실,"
테크노경영학(스타트업종합설계),안광일,0,0,0,0,0,0,0,0,0,4.75,3,교양필수,GEN5026-12594,3,금(14:30-16:00),"제1공학관404강의실,"
기계공학종합설계1,박관규,0,0,0,0,0,0,0,0,0,5.0,4,전공핵심,MEE4085-12929,3,월(19:00-21:00),비지정()
기계공학종합설계1,송시몬,0,0,0,0,0,0,0,0,0,2.33,4,전공핵심,MEE4085-12932,3,시간미지정강좌,비지정()
전기공학,김민구,11,89,0,93,7,0,70,30,0,4.84,2,전공심화,ELE3053-12909,3,"화(10:30-12:00),목(13:00-14:30)",제2공학관210강의실
선형대수원리및응용,배지웅,0,85,15,98,2,0,10,75,15,4.67,3,전공심화,DME2060-12919,3,화(14:30-16:00),제2공학관210강의실
미래모빌리티및스마트제조PBL1,김동립,0,0,0,0,0,0,0,0,0,4.0,4,전공심화,DME4073-12923,3,"수(15:00-16:00),수(16:00-20:00)",비지정()
전문학술영어,Ian Gareth Robert Jones,4,50,45,71,27,2,48,32,20,3.98,2,교양필수,GEN6032-12405,3,"월(10:30-12:00),목(09:00-10:30)",제2공학관308강의실
전문학술영어,Esther du Plessis,0,57,43,62,38,0,36,40,24,4.36,2,교양필수,GEN6032-12406,3,"월(10:30-12:00),목(09:00-10:30)",제2공학관306강의실
기계공학종합설계1,오기용,80,10,10,40,30,30,40,10,50,3.2,4,전공핵심,MEE4085-12934,3,시간미지정강좌,비지정()
기계공학종합설계1,이승환,0,0,0,0,0,0,0,0,0,3.67,4,전공핵심,MEE4085-12936,3,시간미지정강좌,비지정()
자동제어,오기용,83,14,3,94,3,3,42,42,17,3.39,4,전공심화,ENE4054-12938,3,"월(09:00-10:30),수(09:00-10:30)",제2공학관207강의실
유체역학1,송시몬,19,69,12,67,23,9,12,49,39,3.51,3,전공핵심,MEE3003-12921,3,월(14:30-16:00),"제2공학관501강의실,제1공학관408강의실"
전문학술영어,Shelley L. Collins,0,57,43,62,38,0,36,40,24,4.36,2,교양필수,GEN6032-12399,3,"월(09:00-10:30),목(10:30-12:00)",제2공학관307강의실
전문학술영어,Esther du Plessis,0,57,43,62,38,0,36,40,24,4.36,2,교양필수,GEN6032-12401,3,"월(09:00-10:30),목(10:30-12:00)",제2공학관306강의실
전문학술영어,Shelley L. Collins,0,57,43,62,38,0,36,40,24,4.36,2,교양필수,GEN6032-12404,3,"월(10:30-12:00),목(09:00-10:30)",제2공학관307강의실
열유체공학실험2,박성욱,0,0,0,0,0,0,0,0,0,5.0,4,전공심화,DME4066-13334,2,월(15:00-19:00),비지정()
열유체공학실험2,육세진,0,0,0,0,0,0,0,0,0,3.71,4,전공심화,DME4066-13335,2,화(15:00-19:00),비지정()
