교과목명,교강사,과제_없음(%),과제_보통(%),과제_많음(%),조모임_없음(%),조모임_보통(%),조모임_많음(%),성적_너그러움(%),성적_보통(%),성적_깐깐함(%),평점,학년,이수구분,학수번호-수업번호,학점,시간,강의실
컴퓨터공학,박자영,0,53,47,88,12,0,47,41,12,4.65,2,전공기초(필수),ENE4044-12942,3,"금(13:00-15:00),금(15:00-17:00)",제2공학관정석현PC4
도시공학종합설계1(URIP),이창무,0,0,0,0,0,0,0,0,0,5.00,4,전공핵심,URE4008-12943,4,시간미지정강좌,비지정()
도시공학종합설계1(URIP),박진아,없음,없음,없음,없음,없음,없음,없음,없음,없음,0,4,전공핵심,URE4008-12944,4,시간미지정강좌,비지정()
도시계획개론,이주일,없음,없음,없음,없음,없음,없음,없음,없음,없음,0,2,전공핵심,URE2006-12945,3,"수(13:00-14:30),수(14:30-16:00)",제1공학관607강의실(공학대학원전용)
인공지능과기계학습,성기혁,66,34,0,94,6,0,73,25,2,4.53,2,교양필수,CUL1138-12006,2,시간미지정강좌,비지정()
도시설계1,홍상현,8,31,62,0,8,92,31,46,23,4.08,2,전공핵심,URE3011-13249,4,"화(13:00-15:00),화(15:00-19:00)",비지정()
도시설계1,리나,없음,없음,없음,없음,없음,없음,없음,없음,없음,0,2,전공핵심,URE3011-13250,4,"화(13:00-15:00),화(15:00-19:00)",비지정()
커리어개발Ⅰ:취.창업진로로드맵,최성택,없음,없음,없음,없음,없음,없음,없음,없음,없음,0,1,교양필수,GEN5029-12939,1,화(09:00-10:00),제1공학관209강의실
커리어개발Ⅰ:취.창업진로로드맵,박진아,없음,없음,없음,없음,없음,없음,없음,없음,없음,0,1,교양필수,GEN5029-12940,1,화(09:00-10:00),제1공학관302강의실
커리어개발Ⅰ:취.창업진로로드맵,이창무,없음,없음,없음,없음,없음,없음,없음,없음,없음,0,1,교양필수,GEN5029-12941,1,화(09:00-10:00),제1공학관303강의실
공업수학1,이성열,0,0,0,0,0,0,0,0,0,3.71,2,전공기초(필수),COE3051-12036,3,"월(14:30-16:00),목(14:30-16:00)",제1공학관303강의실
전문학술영어,Joshua Huewe,26,61,13,13,40,47,35,45,19,4.67,2,교양필수,GEN6032-12411,3,"월(13:00-14:30),목(16:00-17:30)",제2공학관306강의실
AI시대쓰기의힘,임은희,없음,없음,없음,없음,없음,없음,없음,없음,없음,5.00,1,교양필수,CUL0203-12454,2,화(11:00-13:00),제1공학관406강의실
AI시대쓰기의힘,문혜연,없음,없음,없음,없음,없음,없음,없음,없음,없음,0,1,교양필수,CUL0203-12455,2,화(11:00-13:00),제1공학관507강의실
